,workerid,key,value
1,W2676b8fb77,startTime,Sun Apr 17 2022 11:21:32 GMT+0100 (British Summer Time)
2,W7431e4d737,startTime,Mon Apr 18 2022 11:35:24 GMT+0100 (British Summer Time)
3,W0c81ac968f,startTime,Sun Apr 17 2022 11:24:42 GMT+0100 (British Summer Time)
4,W0c81ac968f,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
5,W0c81ac968f,trialDataFile,exp2_split2
6,W0c81ac968f,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
7,W0c81ac968f,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
8,W0c81ac968f,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
9,W0c81ac968f,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
10,W0c81ac968f,bonus,2
11,W74485678eb,startTime,Sun Apr 17 2022 11:30:04 GMT+0100 (British Summer Time)
12,W74485678eb,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
13,W74485678eb,trialDataFile,exp2_split4
14,W74485678eb,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
15,W74485678eb,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
16,W74485678eb,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
17,W74485678eb,bonus,2
18,W52d0ff1891,startTime,Sun Apr 17 2022 11:24:55 GMT+0100 (British Summer Time)
19,W52d0ff1891,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
20,W52d0ff1891,trialDataFile,exp2_split4
21,W52d0ff1891,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
22,W52d0ff1891,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
23,W52d0ff1891,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
24,W52d0ff1891,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
25,W52d0ff1891,bonus,2
26,W9cafa4661b,startTime,Mon Apr 18 2022 11:36:30 GMT+0100 (British Summer Time)
27,W9cafa4661b,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
28,W9cafa4661b,trialDataFile,exp2_split2
29,W9cafa4661b,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
30,W9cafa4661b,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
31,W9cafa4661b,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
32,W9cafa4661b,bonus,2
33,W84c238af7c,startTime,Mon Apr 18 2022 11:26:47 GMT+0100 (British Summer Time)
34,W84c238af7c,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
35,W84c238af7c,trialDataFile,exp2_split1
36,W84c238af7c,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Green"",""Solid"":""Blue"",""Striped"":""Red""}"
37,W84c238af7c,quizAttempt-1,"{""attempt"":1,""correct"":8,""total"":16}"
38,W84c238af7c,quizAttempt-2,"{""attempt"":2,""correct"":12,""total"":13}"
39,W84c238af7c,quizAttempt-3,"{""attempt"":3,""correct"":4,""total"":4}"
40,W84c238af7c,quizPassed,"{""attempt"":3,""correct"":4,""total"":4}"
41,W84c238af7c,bonus,2
42,W548d3b818a,startTime,Mon Apr 18 2022 11:36:42 GMT+0100 (BST)
43,W548d3b818a,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
44,W548d3b818a,trialDataFile,exp2_split1
45,W548d3b818a,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
46,W548d3b818a,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
47,W548d3b818a,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":7}"
48,W548d3b818a,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
49,W548d3b818a,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
50,W548d3b818a,bonus,2
51,Wd0189d218b,startTime,Mon Apr 18 2022 11:46:12 GMT+0100 (British Summer Time)
52,Wd0189d218b,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
53,Wd0189d218b,trialDataFile,exp2_split3
54,Wd0189d218b,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
55,Wd0189d218b,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
56,Wd0189d218b,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":4}"
57,Wd0189d218b,quizPassed,"{""attempt"":2,""correct"":4,""total"":4}"
58,Wd0189d218b,bonus,2
59,W7c792376f8,startTime,Mon Apr 18 2022 11:46:47 GMT+0100 (Irish Standard Time)
60,W7c792376f8,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
61,W7c792376f8,trialDataFile,exp2_split2
62,W7c792376f8,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
63,W7c792376f8,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
64,W7c792376f8,quizAttempt-2,"{""attempt"":2,""correct"":7,""total"":7}"
65,W7c792376f8,quizPassed,"{""attempt"":2,""correct"":7,""total"":7}"
66,W7c792376f8,bonus,2
67,W8fb49adbc9,startTime,Tue Apr 19 2022 14:57:30 GMT+0100 (British Summer Time)
68,W8fb49adbc9,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
69,W8fb49adbc9,trialDataFile,exp2_split2
70,W8fb49adbc9,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
71,W8fb49adbc9,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
72,W8fb49adbc9,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
73,W8fb49adbc9,bonus,2
74,W371b4916b6,startTime,Tue Apr 19 2022 14:55:26 GMT+0100 (British Summer Time)
75,W371b4916b6,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
76,W371b4916b6,trialDataFile,exp2_split2
77,W371b4916b6,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
78,W371b4916b6,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
79,W371b4916b6,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":4}"
80,W371b4916b6,quizPassed,"{""attempt"":2,""correct"":4,""total"":4}"
81,W371b4916b6,bonus,2
82,W7a0aa04396,startTime,Fri Apr 29 2022 14:10:05 GMT+0100 (British Summer Time)
83,W7a0aa04396,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
84,W7a0aa04396,trialDataFile,exp2_split2
85,W7a0aa04396,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
86,W7a0aa04396,quizAttempt-1,"{""attempt"":1,""correct"":8,""total"":16}"
87,W7a0aa04396,quizAttempt-2,"{""attempt"":2,""correct"":6,""total"":13}"
88,W7a0aa04396,quizAttempt-3,"{""attempt"":3,""correct"":6,""total"":10}"
89,W7a0aa04396,quizFailed,"{""attempt"":3,""correct"":6,""total"":10}"
90,Wbededc5c66,startTime,Fri Apr 29 2022 14:10:06 GMT+0100 (British Summer Time)
91,Wbededc5c66,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
92,Wbededc5c66,trialDataFile,exp2_split2
93,Wbededc5c66,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
94,Wbededc5c66,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
95,Wbededc5c66,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
96,Wbededc5c66,bonus,2
97,W488d7ed5da,startTime,Mon Apr 18 2022 11:47:36 GMT+0100 (BST)
98,W9e1d357c2b,startTime,Mon Apr 18 2022 11:49:27 GMT+0100 (British Summer Time)
99,W9e1d357c2b,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
100,W9e1d357c2b,trialDataFile,exp2_split2
101,W9e1d357c2b,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
102,W9e1d357c2b,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
103,W9e1d357c2b,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
104,W9e1d357c2b,bonus,2
105,W20d00668b3,startTime,Mon Apr 18 2022 11:53:43 GMT+0100 (British Summer Time)
106,W20d00668b3,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
107,W20d00668b3,trialDataFile,exp2_split1
108,W20d00668b3,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
109,W20d00668b3,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
110,W20d00668b3,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
111,W20d00668b3,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
112,W20d00668b3,bonus,2
113,W99ab97c2c7,startTime,Mon Apr 18 2022 11:48:36 GMT+0100 (British Summer Time)
114,W99ab97c2c7,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
115,W99ab97c2c7,trialDataFile,exp2_split4
116,W99ab97c2c7,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
117,W99ab97c2c7,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
118,W99ab97c2c7,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
119,W99ab97c2c7,bonus,2
120,W3a0261dab6,startTime,Mon Apr 18 2022 11:48:26 GMT+0100 (British Summer Time)
121,W3a0261dab6,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
122,W3a0261dab6,trialDataFile,exp2_split1
123,W3a0261dab6,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
124,W3a0261dab6,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
125,W3a0261dab6,quizAttempt-2,"{""attempt"":2,""correct"":7,""total"":7}"
126,W3a0261dab6,quizPassed,"{""attempt"":2,""correct"":7,""total"":7}"
127,W3a0261dab6,bonus,2
128,W0addeb79cb,startTime,Mon Apr 18 2022 11:56:13 GMT+0100 (British Summer Time)
129,W0addeb79cb,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
130,W0addeb79cb,trialDataFile,exp2_split1
131,W0addeb79cb,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
132,W0addeb79cb,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":16}"
133,W0addeb79cb,quizAttempt-2,"{""attempt"":2,""correct"":7,""total"":7}"
134,W0addeb79cb,quizPassed,"{""attempt"":2,""correct"":7,""total"":7}"
135,W0addeb79cb,bonus,2
136,W7f545ec8e0,startTime,Mon Apr 18 2022 11:53:34 GMT+0100 (British Summer Time)
137,W7f545ec8e0,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
138,W7f545ec8e0,trialDataFile,exp2_split4
139,W7f545ec8e0,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
140,W7f545ec8e0,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
141,W7f545ec8e0,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
142,W7f545ec8e0,bonus,2
143,Wd697de36da,startTime,Mon Apr 18 2022 11:46:43 GMT+0100 (British Summer Time)
144,Wd697de36da,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
145,Wd697de36da,trialDataFile,exp2_split3
146,Wd697de36da,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
147,Wd697de36da,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":16}"
148,Wd697de36da,quizAttempt-2,"{""attempt"":2,""correct"":10,""total"":10}"
149,Wd697de36da,quizPassed,"{""attempt"":2,""correct"":10,""total"":10}"
150,Wd697de36da,bonus,2
151,Wb01380ed5d,startTime,Fri Apr 29 2022 14:10:10 GMT+0100 (British Summer Time)
152,Wb01380ed5d,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
153,Wb01380ed5d,trialDataFile,exp2_split3
154,Wb01380ed5d,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
155,Wb01380ed5d,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
156,Wb01380ed5d,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
157,Wb01380ed5d,bonus,2
158,W978e798d6b,startTime,Fri Apr 29 2022 14:10:14 GMT+0100 (British Summer Time)
159,W978e798d6b,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
160,W978e798d6b,trialDataFile,exp2_split3
161,W978e798d6b,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
162,W978e798d6b,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":16}"
163,W978e798d6b,quizAttempt-2,"{""attempt"":2,""correct"":6,""total"":7}"
164,W978e798d6b,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":4}"
165,W978e798d6b,quizFailed,"{""attempt"":3,""correct"":2,""total"":4}"
166,W676713914e,bonus,2
167,W676713914e,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
168,W676713914e,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
169,W676713914e,quizAttempt-1,"{""attempt"":1,""correct"":8,""total"":16}"
170,W676713914e,quizAttempt-2,"{""attempt"":2,""correct"":13,""total"":13}"
171,W676713914e,quizPassed,"{""attempt"":2,""correct"":13,""total"":13}"
172,W676713914e,startTime,Fri Apr 29 2022 14:31:59 GMT+0100 (British Summer Time)
173,W676713914e,trialDataFile,exp2_split4
174,W6c6168ca07,startTime,Fri Apr 29 2022 14:10:10 GMT+0100 (British Summer Time)
175,W6c6168ca07,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
176,W6c6168ca07,trialDataFile,exp2_split2
177,W6c6168ca07,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
178,W6c6168ca07,quizAttempt-1,"{""attempt"":1,""correct"":9,""total"":16}"
179,W6c6168ca07,quizAttempt-2,"{""attempt"":2,""correct"":10,""total"":10}"
180,W6c6168ca07,quizPassed,"{""attempt"":2,""correct"":10,""total"":10}"
181,W6c6168ca07,bonus,2
182,Wa664a8aada,startTime,Mon Apr 18 2022 11:55:42 GMT+0100 (BST)
